system,topic_id,seed,complete,has_attribute,has_classify,has_judge,n_cited_claims,support_total,n_supported,n_partial_attr,n_unsupported,n_attr_error,n_citation_mounts,n_contributing,n_claims,n_claims_with_cite,n_claims_bare,citation_recall,citation_precision,bare_assertion_rate,n_references,n_resolved,n_padding,n_failures,n_genuinely_fabricated,dist_metadata_parse_error,dist_id_extraction_fail,dist_dedup_collision,dist_genuinely_fabricated,existence_resolved_rate,n_relevant,n_partial_rel,n_irrelevant,n_rel_judged,relevance_score
SURVEYFLOW,code_review_llm,0,True,True,True,True,18,6.5000,4,5,9,0,18,4,34,18,16,0.3611,0.3611,0.4706,8,7,0,1,0,0,0,1,0,0.8750,1,4,3,8,37.5000
SURVEYFLOW,code_review_llm,1,True,True,True,True,22,6.5000,4,5,13,0,22,5,44,22,22,0.2955,0.2955,0.5000,8,7,0,1,0,0,0,1,0,0.8750,1,3,4,8,31.2500
SURVEYFLOW,code_review_llm,2,True,True,True,True,22,11.5000,9,5,8,0,23,9,43,22,21,0.5227,0.5000,0.4884,8,7,0,1,0,0,0,1,0,0.8750,1,4,3,8,37.5000
SURVEYFLOW,diffusion_3d,0,True,True,True,True,21,2.0000,1,2,18,0,22,2,40,21,19,0.0952,0.0909,0.4750,8,7,0,1,0,1,0,0,0,0.8750,5,2,1,8,75.0000
SURVEYFLOW,diffusion_3d,1,True,True,True,True,24,6.0000,4,4,16,0,27,6,50,24,26,0.2500,0.2407,0.5200,8,7,0,1,0,1,0,0,0,0.8750,5,2,1,8,75.0000
SURVEYFLOW,diffusion_3d,2,True,True,True,True,20,3.5000,3,1,16,0,20,4,45,20,25,0.1750,0.1750,0.5556,8,7,0,1,0,1,0,0,0,0.8750,5,2,1,8,75.0000
SURVEYFLOW,gnn_drug,0,True,True,True,True,14,7.5000,6,3,5,0,14,6,30,14,16,0.5357,0.5357,0.5333,8,8,0,0,0,0,0,0,0,1.0000,7,1,0,8,93.7500
SURVEYFLOW,gnn_drug,1,True,True,True,True,14,6.5000,5,3,6,0,16,7,28,14,14,0.4643,0.5000,0.5000,8,8,0,0,0,0,0,0,0,1.0000,7,1,0,8,93.7500
SURVEYFLOW,gnn_drug,2,True,True,True,True,10,5.5000,5,1,4,0,10,6,26,10,16,0.5500,0.5500,0.6154,8,8,0,0,0,0,0,0,0,1.0000,7,1,0,8,93.7500
SURVEYFLOW,short_video_misinfo,0,True,True,True,True,11,4.0000,4,0,7,0,11,4,26,11,15,0.3636,0.3636,0.5769,4,4,0,0,0,0,0,0,0,1.0000,3,1,0,4,87.5000
SURVEYFLOW,short_video_misinfo,1,True,True,True,True,7,2.0000,1,2,4,0,7,1,17,7,10,0.2857,0.2857,0.5882,4,4,0,0,0,0,0,0,0,1.0000,3,1,0,4,87.5000
SURVEYFLOW,short_video_misinfo,2,True,True,True,True,13,5.0000,4,2,7,0,13,6,25,13,12,0.3846,0.3846,0.4800,4,4,0,0,0,0,0,0,0,1.0000,3,1,0,4,87.5000
SURVEYFLOW,affective_remote_work,0,True,True,True,True,3,1.0000,1,0,2,0,3,1,9,3,6,0.3333,0.3333,0.6667,2,2,0,0,0,0,0,0,0,1.0000,2,0,0,2,100.0000
SURVEYFLOW,affective_remote_work,1,True,True,True,True,3,1.0000,1,0,2,0,3,1,8,3,5,0.3333,0.3333,0.6250,2,2,0,0,0,0,0,0,0,1.0000,2,0,0,2,100.0000
SURVEYFLOW,affective_remote_work,2,True,True,True,True,3,0.0000,0,0,3,0,3,0,7,3,4,0.0000,0.0000,0.5714,2,2,0,0,0,0,0,0,0,1.0000,2,0,0,2,100.0000
SURVEYFLOW,federated_health,0,True,True,True,True,14,3.0000,1,4,9,0,14,2,34,14,20,0.2143,0.2143,0.5882,5,5,0,0,0,0,0,0,0,1.0000,3,2,0,5,80.0000
SURVEYFLOW,federated_health,1,True,True,True,True,12,1.5000,1,1,10,0,12,1,26,12,14,0.1250,0.1250,0.5385,5,5,0,0,0,0,0,0,0,1.0000,3,2,0,5,80.0000
SURVEYFLOW,federated_health,2,True,True,True,True,16,2.0000,1,2,13,0,16,2,35,16,19,0.1250,0.1250,0.5429,5,5,0,0,0,0,0,0,0,1.0000,3,2,0,5,80.0000
